billing_account_id,project_id,project_name,service_description,sku_description,usage_start_time,usage_end_time,cost,currency,usage_amount,usage_unit,labels
000000-000000-000000,proj-anon,proj-anon,Cloud SQL,Storage PD Snapshot,2026-03-01 00:00:00,2026-03-01 01:00:00,1.0E-6,EUR,1.7395892825E10,byte-seconds,bigalloc-enabled:false;cloud_sql_backup_id:REDACTED;cloud_sql_bill_to:REDACTED;dg_storage_retention_plan_id:REDACTED;physical-block-size:4096
000000-000000-000000,proj-anon,proj-anon,Cloud Composer,Cloud Composer Network Inter Zone Data Transfer Out,2026-03-01 00:00:00,2026-03-01 01:00:00,1.0E-6,EUR,114531.0,bytes,goog-composer-cluster-name:REDACTED;goog-composer-image-version:cloud-composer-service-2026-02-09-rc3;goog-composer-location:europe-west1;goog-composer-namespace-name:REDACTED;goog-composer-pod-name:REDACTED;goog-terraform-provisioned:true;resource-type:composer;team:ml
000000-000000-000000,proj-anon,proj-anon,Cloud Monitoring,Metric Volume,2026-03-01 00:00:00,2026-03-01 01:00:00,2.23E-4,EUR,1088.0,bytes,goog-agent-metric-class:REDACTED;goog-metric-domain:REDACTED
000000-000000-000000,proj-anon,proj-anon,Networking,Network Intelligence Center Network Analyzer Resource Hours,2026-03-01 00:00:00,2026-03-01 01:00:00,0.003677,EUR,4.0,requests,
000000-000000-000000,proj-anon,proj-anon,Cloud Logging,Log Storage cost,2026-03-01 00:00:00,2026-03-01 01:00:00,1.4E-5,EUR,35844.0,bytes,goog-resource-type:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Composer,Cloud Composer 3 database storage (europe-west1),2026-03-01 00:00:00,2026-03-01 01:00:00,7.55E-4,EUR,1.2562712611081E13,byte-seconds,goog-terraform-provisioned:true;resource-type:composer;team:ml
000000-000000-000000,proj-anon,proj-anon,Artifact Registry,Artifact Registry Storage,2026-03-01 00:00:00,2026-03-01 01:00:00,0.001863,EUR,5.7892382613995E13,byte-seconds,goog-managed-by:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Logging,Log Storage cost,2026-03-01 00:00:00,2026-03-01 01:00:00,1.2E-5,EUR,30548.0,bytes,goog-resource-type:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Composer,Cloud Composer Network Inter Zone Data Transfer Out,2026-03-01 00:00:00,2026-03-01 01:00:00,1.0E-6,EUR,146050.0,bytes,goog-composer-cluster-name:REDACTED;goog-composer-image-version:cloud-composer-service-2026-02-09-rc3;goog-composer-location:europe-west1;goog-composer-namespace-name:REDACTED;goog-composer-pod-name:REDACTED;goog-terraform-provisioned:true;resource-type:composer;team:ml
000000-000000-000000,proj-anon,proj-anon,Secret Manager,Secret access operations,2026-03-01 00:00:00,2026-03-01 01:00:00,0.001454,EUR,580.0,requests,
000000-000000-000000,proj-anon,proj-anon,Cloud Monitoring,Metric Volume,2026-03-01 00:00:00,2026-03-01 01:00:00,5.33E-4,EUR,2592.0,bytes,goog-agent-metric-class:REDACTED;goog-metric-domain:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Composer,Cloud Composer Network Inter Zone Data Transfer Out,2026-03-01 00:00:00,2026-03-01 01:00:00,1.0E-6,EUR,141690.0,bytes,goog-composer-cluster-name:REDACTED;goog-composer-image-version:cloud-composer-service-2026-02-09-rc3;goog-composer-location:europe-west1;goog-composer-namespace-name:REDACTED;goog-composer-pod-name:REDACTED;goog-terraform-provisioned:true;resource-type:composer;team:ml
000000-000000-000000,proj-anon,proj-anon,Cloud Logging,Log Storage cost,2026-03-01 00:00:00,2026-03-01 01:00:00,3.0E-6,EUR,6574.0,bytes,goog-resource-type:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Logging,Log Storage cost,2026-03-01 00:00:00,2026-03-01 01:00:00,1.0E-6,EUR,3806.0,bytes,goog-resource-type:REDACTED
000000-000000-000000,proj-anon,proj-anon,Cloud Logging,Log Storage cost,2026-03-01 00:00:00,2026-03-01 01:00:00,6.51E-4,EUR,1671695.0,bytes,goog-resource-type:REDACTED
